Target affinity,Predicted logps,Predicted qeds,Predicted sas,Predicted tpsas,Predicted affinity,key
-9.0,0.9093999999999993,0.6031437892414019,2.1889415082822232,120.47,-7.9,-9
-9.0,5.450120000000004,0.3972287376096586,2.018296692228713,88.05000000000001,-9.0,-9
-9.0,4.044470000000003,0.5415947586453755,3.1412246690305077,102.80000000000001,-8.2,-9
-9.0,3.2387000000000015,0.6711384609505069,2.2996138908165076,72.39000000000001,-8.9,-9
-9.0,5.543100000000005,0.4191217563806382,4.435566963301414,48.0,-8.9,-9
-9.0,2.833700000000001,0.47117444313734924,2.552562568090206,90.94,-9.4,-9
-9.0,6.2742000000000075,0.18992222135379372,2.6909562001137424,74.83000000000001,-9.7,-9
-9.0,1.7352000000000007,0.7442118722317298,3.776331923188308,73.71000000000001,-8.6,-9
-9.0,3.9623200000000036,0.7496549708854345,4.159791498801539,75.71000000000001,-9.4,-9
-9.0,4.468740000000004,0.5791312651899381,2.5272794626024453,72.11000000000001,-8.9,-9
-9.0,2.7327000000000004,0.5053827446833659,2.303225743360393,122.03,-9.5,-9
-9.0,4.779970000000003,0.3802718281413996,2.281002630257138,98.18,-8.9,-9
-9.0,4.896900000000003,0.7404558990238587,2.5522724994788373,37.3,-8.9,-9
-9.0,4.516720000000002,0.5498681228819244,2.1583377961575483,70.67,-9.3,-9
-9.0,6.522300000000006,0.221368989060274,2.736184436206006,67.68,-9.8,-9
-9.0,4.795300000000005,0.31515308579738294,3.748879130902157,56.07000000000001,-8.9,-9
-9.0,3.4103900000000023,0.5070840556618654,2.921386357780552,121.47999999999999,-8.0,-9
-9.0,6.691800000000007,0.14202015942399632,2.9915912646581564,104.21000000000001,-8.9,-9
-9.0,4.447300000000003,0.4769123849010808,2.561374711642026,81.65,-9.4,-9
-9.0,8.402420000000003,0.24371343269772597,2.368135327285083,49.410000000000004,-9.2,-9
-9.0,5.531400000000004,0.5339732677153796,2.4376929713340783,37.81,-9.1,-9
-9.0,5.057700000000004,0.31465476294723654,2.2633763054654636,86.74,-9.8,-9
-9.0,1.5583999999999998,0.5516290295160053,3.562059395139082,109.82,-7.5,-9
-9.0,3.0762000000000014,0.39818113678316563,3.3342795009328627,105.47999999999999,-9.0,-9
-9.0,2.943300000000001,0.4829591005159746,2.398790985866251,125.04000000000002,-9.7,-9
-9.0,3.5028200000000025,0.6598406015502437,3.1433245837636496,53.730000000000004,-8.6,-9
-9.0,3.930220000000003,0.6028586749888681,2.1148568284397733,67.77000000000001,-9.6,-9
-9.0,3.9978000000000025,0.43929808509880824,2.371148924590848,92.26,-9.5,-9
-9.0,4.136670000000002,0.28393278856938675,2.492227071289882,124.36000000000001,-8.5,-9
-9.0,3.8789000000000025,0.7030682522801881,2.3651110753673787,70.15,-8.6,-9
-9.0,5.5381000000000045,0.5312611192763718,2.1264988201329906,37.81,-8.8,-9
-9.0,5.536300000000006,0.4799310968652308,4.233181805632996,62.29,-8.4,-9
-9.0,3.8968400000000027,0.7768972479122097,1.935525379874619,61.440000000000005,-8.1,-9
-9.0,3.785700000000002,0.5764584302702966,1.9869842913080653,73.22,-9.6,-9
-9.0,4.493500000000003,0.19577557658589198,3.625808751734448,103.67000000000002,-8.3,-9
-9.0,2.1790000000000003,0.2785377985445799,3.640265283113707,150.0,-8.6,-9
-9.0,3.860520000000003,0.28487285322387074,4.548554215486037,67.97,,-9
-9.0,2.2253999999999996,0.8485929796428514,4.391317447161008,78.96000000000001,-9.5,-9
-9.0,3.6117000000000026,0.8080671089075943,2.2750662143296143,35.53,-8.5,-9
-9.0,1.7829399999999997,0.7301630655900164,2.3478555364814078,101.28,-8.1,-9
-9.0,4.537200000000003,0.5902938770095648,1.940351024408967,38.05,-9.9,-9
-9.0,5.062200000000005,0.5279783898678359,2.578272819739629,51.58,-8.5,-9
-9.0,6.804700000000007,0.3291685349911219,4.37787615362774,75.63,-9.3,-9
-9.0,5.656600000000006,0.4787081591253037,2.8277887787269904,56.17000000000001,-9.1,-9
-9.0,4.105340000000003,0.6684486570449528,2.6290823023177783,44.120000000000005,-8.6,-9
-9.0,2.5531700000000006,0.4361404603112186,2.9207800096602234,135.55,,-9
-9.0,2.7669000000000006,0.7158296657097832,2.1482037156400846,78.95000000000002,-9.1,-9
-9.0,2.8775000000000004,0.5084928864305844,2.3674937289616533,73.14,-9.9,-9
-9.0,2.533900000000001,0.6608992294225913,3.1768597727956394,59.71000000000001,-7.9,-9
-9.0,4.155920000000003,0.7520020354853221,2.0957364829197846,61.96,-9.1,-9
-9.0,3.7184000000000026,0.7994241779188732,2.6148515845518467,36.36,-8.5,-9
-9.0,5.126300000000002,0.500707295695265,2.1759627746381813,71.09,-9.2,-9
-9.0,7.022900000000005,0.4332682656654696,2.4955855217842178,24.83,-8.9,-9
-9.0,3.878000000000003,0.5211330480661438,2.4690160112947055,73.39,-8.9,-9
-9.0,4.676920000000003,0.738234527421013,3.652151449953144,57.53,-10.0,-9
-9.0,2.2176,0.7773196077379525,3.245734720232891,68.58000000000001,-8.8,-9
-9.0,2.8084000000000007,0.6139752520094243,3.098858082749002,108.9,-9.2,-9
-9.0,4.511460000000003,0.7197763932987606,1.8645800104210188,71.09,-9.4,-9
-9.0,2.898600000000001,0.7576096467353209,2.2846280598875133,99.67999999999999,-9.3,-9
-9.0,2.041499999999999,0.7903472625156467,2.3152591786267855,70.59,-8.7,-9
-9.0,5.026400000000004,0.6333589135890441,2.218944296799414,71.19,-9.0,-9
-9.0,2.964500000000001,0.8611831794613792,2.7722223806139628,69.72,-8.9,-9
-9.0,3.8807000000000027,0.8117853033333884,2.8288474731159727,75.71000000000001,-8.9,-9
-9.0,5.8144200000000055,0.618706628429867,3.0126404663046253,63.79,-8.6,-9
-9.0,7.559800000000006,0.2894436966402946,2.2533437749266554,23.39,-9.1,-9
-9.0,4.485920000000004,0.306928583455264,3.8740108868190823,126.68,-8.7,-9
-9.0,4.990120000000004,0.6718921520414642,2.375959145169059,51.22,-9.0,-9
-9.0,4.647600000000003,0.43322147310054177,4.222100579957491,67.87,-8.5,-9
-9.0,5.511040000000006,0.28385682041112764,2.5437503250566884,73.36000000000001,-9.6,-9
-9.0,4.7264000000000035,0.41105179447692164,3.1589181577969025,87.96,-9.6,-9
-9.0,4.8400000000000025,0.40706927974205237,2.226283762255731,77.77,-9.6,-9
