Target affinity,Target logps,Predicted logps,Predicted qeds,Predicted sas,Predicted tpsas,Predicted affinity,key
-9.0,5.0,3.8775000000000013,0.1675961926938546,2.799051183295843,120.14,-7.9,-9_5
-9.0,5.0,4.783700000000003,0.3496323887249556,2.977363705929694,106.03,-8.5,-9_5
-9.0,5.0,3.8011000000000026,0.3892607470354191,3.4477146788318223,111.63,-8.2,-9_5
-9.0,5.0,4.496700000000003,0.584589002740234,3.5489104785480077,79.15,-8.9,-9_5
-9.0,5.0,4.757400000000003,0.45698028763927384,2.818831508969824,85.44000000000001,-9.9,-9_5
-9.0,5.0,4.829620000000005,0.45518708748008885,2.5785428110187336,63.21000000000001,-9.9,-9_5
-9.0,5.0,4.723500000000004,0.4502683898845691,2.398579105123954,56.410000000000004,-8.1,-9_5
-9.0,5.0,4.078000000000003,0.5737835042856853,3.862910104448874,65.45,-9.2,-9_5
-9.0,5.0,4.892920000000002,0.4750343489941812,2.108704660062873,92.92999999999999,-9.3,-9_5
-9.0,5.0,5.2748000000000035,0.5231648032330791,2.2905016977151043,50.17,-8.8,-9_5
-9.0,5.0,4.763920000000003,0.36678164607348723,2.199145407015882,71.94,-9.2,-9_5
-9.0,5.0,4.4158000000000035,0.38546864965668504,2.9206373750790924,83.55000000000001,-8.1,-9_5
-9.0,5.0,5.768800000000006,0.407622990923453,3.201754129695023,43.18000000000001,-8.4,-9_5
-9.0,5.0,4.653300000000005,0.451859418486102,2.5657732569365805,66.29,-9.3,-9_5
-9.0,5.0,5.375700000000004,0.5068368878615497,2.17195999730869,50.36,-8.8,-9_5
-9.0,5.0,5.296800000000005,0.5895049776642748,2.7513795309021223,23.550000000000004,-8.8,-9_5
-9.0,5.0,4.603200000000005,0.6676299802002388,1.9135652997153336,29.54,-8.9,-9_5
-9.0,5.0,5.422700000000005,0.3297312011952353,2.817112988575742,86.28,-9.3,-9_5
-9.0,5.0,5.664800000000005,0.23995475207298753,3.1171294907367564,81.41000000000001,-8.1,-9_5
-9.0,5.0,5.349400000000004,0.4696513655869603,2.062294022540687,72.47,-8.7,-9_5
